// <id, capacity (cpu, memory), features (speed), state (time_to_turn_on, time_to_turn_off, load (cpu_load, memory_load), state)>

physical_machines = {
  <0, <10, 128>, <1.0>, <31.0, 9.6, <0.0, 0.0>, 0>>,
  <1, <10, 128>, <1.0>, <59.8, 24.3, <0.0, 0.0>, 0>>,
  <2, <10, 128>, <1.0>, <44.9, 6.8, <0.0, 0.0>, 0>>,
  <3, <40, 32>, <1.0>, <23.3, 19.0, <0.0, 0.0>, 0>>,
  <4, <40, 32>, <1.0>, <15.9, 16.1, <0.0, 0.0>, 0>>,
  <5, <16, 32>, <1.0>, <38.9, 21.2, <0.0, 0.0>, 0>>,
  <6, <10, 128>, <1.0>, <28.0, 15.5, <0.0, 0.0>, 0>>,
  <7, <10, 32>, <1.0>, <39.9, 28.0, <0.0, 0.0>, 0>>,
  <8, <16, 64>, <1.0>, <17.9, 5.7, <0.0, 0.0>, 0>>,
  <9, <48, 32>, <1.0>, <30.9, 29.5, <0.0, 0.0>, 0>>,
  <10, <24, 128>, <1.0>, <29.0, 11.8, <0.0, 0.0>, 0>>,
  <11, <48, 32>, <1.0>, <23.1, 24.1, <0.0, 0.0>, 0>>,
  <12, <32, 32>, <1.0>, <41.9, 21.4, <0.0, 0.0>, 0>>,
  <13, <16, 32>, <1.0>, <32.4, 10.6, <0.0, 0.0>, 0>>,
  <14, <40, 64>, <1.0>, <40.2, 25.4, <0.0, 0.0>, 0>>,
  <15, <48, 64>, <1.0>, <37.7, 25.0, <0.0, 0.0>, 0>>,
  <16, <40, 32>, <1.0>, <20.4, 15.3, <0.0, 0.0>, 0>>,
  <17, <24, 64>, <1.0>, <39.9, 18.9, <0.0, 0.0>, 0>>,
  <18, <16, 64>, <1.0>, <40.6, 15.1, <0.0, 0.0>, 0>>,
  <19, <40, 32>, <1.0>, <10.3, 15.9, <0.0, 0.0>, 0>>,
  <20, <10, 64>, <1.0>, <31.8, 8.1, <0.0, 0.0>, 0>>,
  <21, <48, 128>, <1.0>, <36.8, 29.6, <0.0, 0.0>, 0>>,
  <22, <10, 64>, <1.0>, <25.9, 22.0, <0.0, 0.0>, 0>>,
  <23, <16, 128>, <1.0>, <55.5, 14.7, <0.0, 0.0>, 0>>,
  <24, <16, 64>, <1.0>, <23.5, 18.8, <0.0, 0.0>, 0>>,
  <25, <48, 32>, <1.0>, <33.0, 21.9, <0.0, 0.0>, 0>>,
  <26, <40, 32>, <1.0>, <27.3, 11.7, <0.0, 0.0>, 0>>,
  <27, <32, 64>, <1.0>, <13.0, 6.3, <0.0, 0.0>, 0>>,
  <28, <24, 32>, <1.0>, <38.6, 9.2, <0.0, 0.0>, 0>>,
  <29, <24, 32>, <1.0>, <52.6, 15.8, <0.0, 0.0>, 0>>,
  <30, <40, 32>, <1.0>, <31.0, 28.8, <0.0, 0.0>, 0>>,
  <31, <24, 32>, <1.0>, <32.8, 12.7, <0.0, 0.0>, 0>>,
  <32, <32, 128>, <1.0>, <55.3, 8.2, <0.0, 0.0>, 0>>,
  <33, <16, 32>, <1.0>, <57.0, 28.7, <0.0, 0.0>, 0>>,
  <34, <16, 64>, <1.0>, <52.4, 19.4, <0.0, 0.0>, 0>>,
  <35, <32, 32>, <1.0>, <17.4, 16.7, <0.0, 0.0>, 0>>,
  <36, <48, 128>, <1.0>, <15.8, 20.8, <0.0, 0.0>, 0>>,
  <37, <24, 64>, <1.0>, <19.3, 14.7, <0.0, 0.0>, 0>>,
  <38, <10, 64>, <1.0>, <30.4, 7.8, <0.0, 0.0>, 0>>,
  <39, <48, 64>, <1.0>, <35.5, 27.6, <0.0, 0.0>, 0>>,
  <40, <16, 128>, <1.0>, <22.0, 16.5, <0.0, 0.0>, 0>>,
  <41, <48, 32>, <1.0>, <44.3, 19.7, <0.0, 0.0>, 0>>,
  <42, <24, 32>, <1.0>, <57.5, 25.0, <0.0, 0.0>, 0>>,
  <43, <16, 64>, <1.0>, <25.2, 22.8, <0.0, 0.0>, 0>>,
  <44, <10, 64>, <1.0>, <52.7, 18.6, <0.0, 0.0>, 0>>,
  <45, <24, 128>, <1.0>, <34.9, 15.1, <0.0, 0.0>, 0>>,
  <46, <16, 32>, <1.0>, <33.5, 16.3, <0.0, 0.0>, 0>>,
  <47, <10, 32>, <1.0>, <24.2, 24.4, <0.0, 0.0>, 0>>,
  <48, <48, 32>, <1.0>, <31.4, 7.2, <0.0, 0.0>, 0>>,
  <49, <40, 64>, <1.0>, <41.6, 7.2, <0.0, 0.0>, 0>>,
  <50, <48, 32>, <1.0>, <11.3, 23.5, <0.0, 0.0>, 0>>,
  <51, <24, 64>, <1.0>, <26.3, 14.7, <0.0, 0.0>, 0>>,
  <52, <48, 64>, <1.0>, <47.7, 19.3, <0.0, 0.0>, 0>>,
  <53, <48, 64>, <1.0>, <25.5, 19.3, <0.0, 0.0>, 0>>,
  <54, <32, 64>, <1.0>, <26.6, 16.1, <0.0, 0.0>, 0>>,
  <55, <16, 32>, <1.0>, <12.5, 8.4, <0.0, 0.0>, 0>>,
  <56, <48, 128>, <1.0>, <41.2, 9.2, <0.0, 0.0>, 0>>,
  <57, <10, 128>, <1.0>, <18.1, 19.7, <0.0, 0.0>, 0>>,
  <58, <48, 128>, <1.0>, <47.0, 18.2, <0.0, 0.0>, 0>>,
  <59, <40, 128>, <1.0>, <32.5, 19.2, <0.0, 0.0>, 0>>,
  <60, <10, 64>, <1.0>, <36.3, 7.6, <0.0, 0.0>, 0>>,
  <61, <16, 128>, <1.0>, <34.9, 18.7, <0.0, 0.0>, 0>>,
  <62, <48, 32>, <1.0>, <31.8, 9.9, <0.0, 0.0>, 0>>,
  <63, <10, 64>, <1.0>, <55.4, 6.9, <0.0, 0.0>, 0>>,
  <64, <48, 64>, <1.0>, <18.6, 15.5, <0.0, 0.0>, 0>>,
  <65, <10, 64>, <1.0>, <50.2, 25.5, <0.0, 0.0>, 0>>,
  <66, <48, 128>, <1.0>, <14.4, 29.1, <0.0, 0.0>, 0>>,
  <67, <16, 128>, <1.0>, <15.2, 23.6, <0.0, 0.0>, 0>>,
  <68, <10, 32>, <1.0>, <42.5, 23.1, <0.0, 0.0>, 0>>,
  <69, <24, 32>, <1.0>, <50.2, 10.0, <0.0, 0.0>, 0>>,
  <70, <32, 128>, <1.0>, <55.8, 12.7, <0.0, 0.0>, 0>>,
  <71, <40, 64>, <1.0>, <39.3, 15.1, <0.0, 0.0>, 0>>,
  <72, <48, 32>, <1.0>, <47.0, 19.4, <0.0, 0.0>, 0>>,
  <73, <16, 32>, <1.0>, <59.3, 7.7, <0.0, 0.0>, 0>>,
  <74, <16, 128>, <1.0>, <46.8, 18.8, <0.0, 0.0>, 0>>,
  <75, <32, 32>, <1.0>, <52.6, 19.1, <0.0, 0.0>, 0>>,
  <76, <32, 32>, <1.0>, <56.1, 23.6, <0.0, 0.0>, 0>>,
  <77, <10, 64>, <1.0>, <45.9, 26.2, <0.0, 0.0>, 0>>,
  <78, <48, 32>, <1.0>, <41.4, 11.5, <0.0, 0.0>, 0>>,
  <79, <10, 64>, <1.0>, <50.8, 22.1, <0.0, 0.0>, 0>>,
  <80, <40, 32>, <1.0>, <59.3, 7.4, <0.0, 0.0>, 0>>,
  <81, <16, 32>, <1.0>, <33.0, 18.3, <0.0, 0.0>, 0>>,
  <82, <16, 128>, <1.0>, <45.1, 18.0, <0.0, 0.0>, 0>>,
  <83, <24, 64>, <1.0>, <19.2, 5.9, <0.0, 0.0>, 0>>,
  <84, <16, 32>, <1.0>, <55.5, 8.1, <0.0, 0.0>, 0>>,
  <85, <16, 64>, <1.0>, <33.7, 26.0, <0.0, 0.0>, 0>>,
  <86, <48, 64>, <1.0>, <50.3, 21.3, <0.0, 0.0>, 0>>,
  <87, <40, 32>, <1.0>, <15.0, 7.0, <0.0, 0.0>, 0>>,
  <88, <32, 32>, <1.0>, <45.0, 6.7, <0.0, 0.0>, 0>>,
  <89, <48, 32>, <1.0>, <40.3, 10.0, <0.0, 0.0>, 0>>,
  <90, <10, 128>, <1.0>, <21.8, 20.3, <0.0, 0.0>, 0>>,
  <91, <40, 128>, <1.0>, <32.1, 10.0, <0.0, 0.0>, 0>>,
  <92, <48, 64>, <1.0>, <46.0, 22.1, <0.0, 0.0>, 0>>,
  <93, <16, 32>, <1.0>, <29.9, 10.3, <0.0, 0.0>, 0>>,
  <94, <24, 32>, <1.0>, <55.8, 23.9, <0.0, 0.0>, 0>>,
  <95, <48, 128>, <1.0>, <39.2, 22.2, <0.0, 0.0>, 0>>,
  <96, <10, 128>, <1.0>, <11.8, 7.8, <0.0, 0.0>, 0>>,
  <97, <40, 32>, <1.0>, <48.1, 15.3, <0.0, 0.0>, 0>>,
  <98, <40, 128>, <1.0>, <42.1, 15.9, <0.0, 0.0>, 0>>,
  <99, <16, 64>, <1.0>, <21.8, 26.9, <0.0, 0.0>, 0>>,
  <100, <32, 32>, <1.0>, <51.8, 23.4, <0.0, 0.0>, 0>>,
  <101, <48, 64>, <1.0>, <39.7, 10.5, <0.0, 0.0>, 0>>,
  <102, <32, 64>, <1.0>, <32.3, 17.6, <0.0, 0.0>, 0>>,
  <103, <48, 64>, <1.0>, <19.2, 21.7, <0.0, 0.0>, 0>>,
  <104, <10, 64>, <1.0>, <47.3, 16.4, <0.0, 0.0>, 0>>,
  <105, <16, 32>, <1.0>, <16.9, 11.8, <0.0, 0.0>, 0>>,
  <106, <48, 128>, <1.0>, <27.4, 20.4, <0.0, 0.0>, 0>>,
  <107, <32, 64>, <1.0>, <37.9, 24.9, <0.0, 0.0>, 0>>,
  <108, <16, 64>, <1.0>, <26.1, 27.4, <0.0, 0.0>, 0>>,
  <109, <40, 32>, <1.0>, <23.3, 14.5, <0.0, 0.0>, 0>>,
  <110, <16, 128>, <1.0>, <20.5, 22.8, <0.0, 0.0>, 0>>,
  <111, <32, 32>, <1.0>, <55.0, 19.5, <0.0, 0.0>, 0>>,
  <112, <48, 32>, <1.0>, <32.0, 10.1, <0.0, 0.0>, 0>>,
  <113, <32, 128>, <1.0>, <29.5, 17.7, <0.0, 0.0>, 0>>,
  <114, <24, 64>, <1.0>, <33.7, 13.9, <0.0, 0.0>, 0>>,
  <115, <32, 32>, <1.0>, <38.4, 29.5, <0.0, 0.0>, 0>>,
  <116, <32, 32>, <1.0>, <18.7, 27.2, <0.0, 0.0>, 0>>,
  <117, <40, 32>, <1.0>, <17.7, 10.6, <0.0, 0.0>, 0>>,
  <118, <10, 32>, <1.0>, <14.8, 6.8, <0.0, 0.0>, 0>>,
  <119, <48, 128>, <1.0>, <11.5, 9.0, <0.0, 0.0>, 0>>,
  <120, <16, 32>, <1.0>, <15.7, 23.2, <0.0, 0.0>, 0>>,
  <121, <32, 32>, <1.0>, <10.9, 14.8, <0.0, 0.0>, 0>>,
  <122, <40, 64>, <1.0>, <13.6, 21.5, <0.0, 0.0>, 0>>,
  <123, <16, 128>, <1.0>, <10.9, 6.3, <0.0, 0.0>, 0>>,
  <124, <40, 32>, <1.0>, <47.5, 12.8, <0.0, 0.0>, 0>>,
  <125, <32, 32>, <1.0>, <29.3, 6.3, <0.0, 0.0>, 0>>,
  <126, <32, 32>, <1.0>, <44.9, 9.5, <0.0, 0.0>, 0>>,
  <127, <16, 128>, <1.0>, <27.8, 18.3, <0.0, 0.0>, 0>>,
  <128, <16, 32>, <1.0>, <35.6, 12.9, <0.0, 0.0>, 0>>,
  <129, <40, 128>, <1.0>, <46.0, 22.7, <0.0, 0.0>, 0>>,
  <130, <40, 128>, <1.0>, <16.4, 16.8, <0.0, 0.0>, 0>>,
  <131, <32, 32>, <1.0>, <48.1, 27.4, <0.0, 0.0>, 0>>,
  <132, <10, 128>, <1.0>, <15.8, 27.5, <0.0, 0.0>, 0>>,
  <133, <16, 32>, <1.0>, <50.4, 14.8, <0.0, 0.0>, 0>>,
  <134, <24, 128>, <1.0>, <16.7, 28.1, <0.0, 0.0>, 0>>,
  <135, <16, 128>, <1.0>, <41.3, 26.1, <0.0, 0.0>, 0>>,
  <136, <48, 32>, <1.0>, <25.1, 14.4, <0.0, 0.0>, 0>>,
  <137, <40, 64>, <1.0>, <53.0, 28.0, <0.0, 0.0>, 0>>,
  <138, <24, 128>, <1.0>, <22.6, 26.6, <0.0, 0.0>, 0>>,
  <139, <24, 64>, <1.0>, <32.4, 20.4, <0.0, 0.0>, 0>>,
  <140, <48, 32>, <1.0>, <33.0, 28.1, <0.0, 0.0>, 0>>,
  <141, <16, 128>, <1.0>, <14.2, 23.9, <0.0, 0.0>, 0>>,
  <142, <48, 64>, <1.0>, <18.4, 25.8, <0.0, 0.0>, 0>>,
  <143, <10, 32>, <1.0>, <14.2, 21.2, <0.0, 0.0>, 0>>,
  <144, <24, 128>, <1.0>, <44.2, 22.7, <0.0, 0.0>, 0>>,
  <145, <32, 128>, <1.0>, <13.1, 16.7, <0.0, 0.0>, 0>>,
  <146, <10, 32>, <1.0>, <46.8, 12.8, <0.0, 0.0>, 0>>,
  <147, <16, 64>, <1.0>, <18.2, 23.2, <0.0, 0.0>, 0>>,
  <148, <32, 32>, <1.0>, <58.3, 26.2, <0.0, 0.0>, 0>>,
  <149, <32, 128>, <1.0>, <16.1, 15.7, <0.0, 0.0>, 0>>,
  <150, <48, 32>, <1.0>, <55.9, 14.4, <0.0, 0.0>, 0>>,
  <151, <40, 64>, <1.0>, <48.1, 20.1, <0.0, 0.0>, 0>>,
  <152, <10, 128>, <1.0>, <40.4, 7.8, <0.0, 0.0>, 0>>,
  <153, <32, 128>, <1.0>, <31.6, 29.5, <0.0, 0.0>, 0>>,
  <154, <48, 64>, <1.0>, <17.9, 19.3, <0.0, 0.0>, 0>>,
