// <id, capacity (cpu, memory), features (speed), state (time_to_turn_on, time_to_turn_off, load (cpu_load, memory_load), state)>

physical_machines = {
  <0, <256, 64>, <1.0>, <114.0, 19.6, <0.0, 0.0>, 0>>,
  <1, <256, 256>, <1.0>, <47.1, 50.1, <0.0, 0.0>, 0>>,
  <2, <56, 256>, <1.0>, <89.2, 59.6, <0.0, 0.0>, 0>>,
  <3, <32, 256>, <1.0>, <60.9, 49.1, <0.0, 0.0>, 0>>,
  <4, <128, 64>, <1.0>, <65.2, 33.9, <0.0, 0.0>, 0>>,
  <5, <256, 512>, <1.0>, <79.0, 65.8, <0.0, 0.0>, 0>>,
  <6, <48, 512>, <1.0>, <41.6, 18.5, <0.0, 0.0>, 0>>,
  <7, <56, 128>, <1.0>, <102.1, 53.9, <0.0, 0.0>, 0>>,
  <8, <32, 128>, <1.0>, <96.0, 23.9, <0.0, 0.0>, 0>>,
  <9, <256, 256>, <1.0>, <28.8, 43.0, <0.0, 0.0>, 0>>,
  <10, <48, 128>, <1.0>, <94.0, 38.2, <0.0, 0.0>, 0>>,
  <11, <56, 256>, <1.0>, <28.1, 14.8, <0.0, 0.0>, 0>>,
  <12, <40, 256>, <1.0>, <109.4, 52.8, <0.0, 0.0>, 0>>,
  <13, <32, 128>, <1.0>, <57.8, 59.9, <0.0, 0.0>, 0>>,
  <14, <128, 64>, <1.0>, <29.2, 42.0, <0.0, 0.0>, 0>>,
  <15, <32, 64>, <1.0>, <66.3, 81.9, <0.0, 0.0>, 0>>,
  <16, <64, 256>, <1.0>, <78.8, 84.2, <0.0, 0.0>, 0>>,
  <17, <128, 64>, <1.0>, <105.5, 88.8, <0.0, 0.0>, 0>>,
  <18, <32, 128>, <1.0>, <87.2, 33.2, <0.0, 0.0>, 0>>,
  <19, <32, 64>, <1.0>, <69.7, 11.2, <0.0, 0.0>, 0>>,
  <20, <128, 512>, <1.0>, <93.8, 85.9, <0.0, 0.0>, 0>>,
  <21, <32, 512>, <1.0>, <71.9, 37.1, <0.0, 0.0>, 0>>,
  <22, <56, 64>, <1.0>, <114.2, 21.9, <0.0, 0.0>, 0>>,
  <23, <48, 64>, <1.0>, <28.3, 48.6, <0.0, 0.0>, 0>>,
  <24, <40, 64>, <1.0>, <35.2, 14.9, <0.0, 0.0>, 0>>,
  <25, <32, 256>, <1.0>, <75.9, 65.5, <0.0, 0.0>, 0>>,
  <26, <40, 256>, <1.0>, <30.5, 15.8, <0.0, 0.0>, 0>>,
  <27, <48, 256>, <1.0>, <107.3, 12.2, <0.0, 0.0>, 0>>,
  <28, <64, 64>, <1.0>, <35.1, 10.9, <0.0, 0.0>, 0>>,
  <29, <256, 128>, <1.0>, <43.0, 41.8, <0.0, 0.0>, 0>>,
  <30, <32, 256>, <1.0>, <51.6, 84.7, <0.0, 0.0>, 0>>,
  <31, <56, 128>, <1.0>, <60.4, 19.0, <0.0, 0.0>, 0>>,
  <32, <64, 512>, <1.0>, <41.1, 68.5, <0.0, 0.0>, 0>>,
  <33, <40, 64>, <1.0>, <75.3, 67.0, <0.0, 0.0>, 0>>,
  <34, <40, 64>, <1.0>, <74.8, 32.3, <0.0, 0.0>, 0>>,
  <35, <256, 512>, <1.0>, <106.1, 27.2, <0.0, 0.0>, 0>>,
  <36, <40, 64>, <1.0>, <37.4, 78.3, <0.0, 0.0>, 0>>,
  <37, <56, 256>, <1.0>, <99.6, 82.9, <0.0, 0.0>, 0>>,
  <38, <40, 128>, <1.0>, <110.2, 43.2, <0.0, 0.0>, 0>>,
  <39, <40, 128>, <1.0>, <56.3, 24.8, <0.0, 0.0>, 0>>,
  <40, <56, 128>, <1.0>, <38.9, 22.4, <0.0, 0.0>, 0>>,
  <41, <32, 64>, <1.0>, <78.5, 88.7, <0.0, 0.0>, 0>>,
  <42, <64, 64>, <1.0>, <117.8, 66.7, <0.0, 0.0>, 0>>,
  <43, <32, 512>, <1.0>, <48.2, 81.3, <0.0, 0.0>, 0>>,
  <44, <32, 256>, <1.0>, <67.3, 36.0, <0.0, 0.0>, 0>>,
  <45, <32, 128>, <1.0>, <15.2, 35.9, <0.0, 0.0>, 0>>,
  <46, <48, 256>, <1.0>, <83.0, 37.9, <0.0, 0.0>, 0>>,
  <47, <128, 512>, <1.0>, <116.3, 62.5, <0.0, 0.0>, 0>>,
  <48, <64, 128>, <1.0>, <61.1, 60.5, <0.0, 0.0>, 0>>,
  <49, <48, 64>, <1.0>, <96.7, 41.8, <0.0, 0.0>, 0>>,
  <50, <40, 64>, <1.0>, <71.3, 76.4, <0.0, 0.0>, 0>>,
  <51, <256, 256>, <1.0>, <29.9, 83.7, <0.0, 0.0>, 0>>,
  <52, <64, 512>, <1.0>, <78.2, 21.0, <0.0, 0.0>, 0>>,
  <53, <56, 128>, <1.0>, <41.6, 20.5, <0.0, 0.0>, 0>>,
  <54, <64, 64>, <1.0>, <16.1, 20.7, <0.0, 0.0>, 0>>,
  <55, <32, 256>, <1.0>, <82.0, 38.8, <0.0, 0.0>, 0>>,
  <56, <64, 64>, <1.0>, <44.8, 19.0, <0.0, 0.0>, 0>>,
  <57, <64, 512>, <1.0>, <35.6, 44.5, <0.0, 0.0>, 0>>,
  <58, <40, 256>, <1.0>, <60.4, 25.3, <0.0, 0.0>, 0>>,
  <59, <32, 256>, <1.0>, <119.9, 46.6, <0.0, 0.0>, 0>>,
  <60, <40, 128>, <1.0>, <17.4, 73.4, <0.0, 0.0>, 0>>,
  <61, <48, 256>, <1.0>, <97.9, 14.4, <0.0, 0.0>, 0>>,
  <62, <56, 64>, <1.0>, <72.0, 59.6, <0.0, 0.0>, 0>>,
  <63, <64, 128>, <1.0>, <49.1, 83.9, <0.0, 0.0>, 0>>,
  <64, <256, 512>, <1.0>, <22.2, 19.7, <0.0, 0.0>, 0>>,
  <65, <56, 256>, <1.0>, <81.0, 77.3, <0.0, 0.0>, 0>>,
