// <id, capacity (cpu, memory), features (speed), state (time_to_turn_on, time_to_turn_off, load (cpu_load, memory_load), state)>

physical_machines = {
  <0, <48, 32>, <1.0>, <49.5, 51.3, <0.0, 0.0>, 0>>,
  <1, <40, 64>, <1.0>, <60.0, 55.9, <0.0, 0.0>, 0>>,
  <2, <16, 128>, <1.0>, <98.9, 85.4, <0.0, 0.0>, 0>>,
  <3, <48, 32>, <1.0>, <62.4, 10.9, <0.0, 0.0>, 0>>,
  <4, <48, 128>, <1.0>, <47.2, 32.3, <0.0, 0.0>, 0>>,
  <5, <40, 128>, <1.0>, <98.0, 55.3, <0.0, 0.0>, 0>>,
  <6, <24, 32>, <1.0>, <86.0, 55.9, <0.0, 0.0>, 0>>,
  <7, <16, 128>, <1.0>, <74.7, 33.5, <0.0, 0.0>, 0>>,
  <8, <40, 128>, <1.0>, <87.0, 74.3, <0.0, 0.0>, 0>>,
  <9, <48, 64>, <1.0>, <33.1, 78.9, <0.0, 0.0>, 0>>,
  <10, <56, 32>, <1.0>, <84.3, 78.7, <0.0, 0.0>, 0>>,
  <11, <56, 64>, <1.0>, <116.1, 19.0, <0.0, 0.0>, 0>>,
  <12, <32, 64>, <1.0>, <20.5, 74.9, <0.0, 0.0>, 0>>,
  <13, <64, 32>, <1.0>, <97.6, 31.6, <0.0, 0.0>, 0>>,
  <14, <64, 64>, <1.0>, <17.1, 71.1, <0.0, 0.0>, 0>>,
  <15, <40, 32>, <1.0>, <76.1, 18.2, <0.0, 0.0>, 0>>,
  <16, <16, 32>, <1.0>, <86.7, 88.4, <0.0, 0.0>, 0>>,
  <17, <56, 32>, <1.0>, <18.0, 82.9, <0.0, 0.0>, 0>>,
  <18, <16, 64>, <1.0>, <80.4, 71.2, <0.0, 0.0>, 0>>,
  <19, <24, 64>, <1.0>, <22.2, 34.2, <0.0, 0.0>, 0>>,
  <20, <40, 32>, <1.0>, <55.8, 86.0, <0.0, 0.0>, 0>>,
  <21, <16, 128>, <1.0>, <111.6, 60.8, <0.0, 0.0>, 0>>,
  <22, <56, 64>, <1.0>, <35.8, 55.4, <0.0, 0.0>, 0>>,
  <23, <16, 128>, <1.0>, <109.7, 79.3, <0.0, 0.0>, 0>>,
  <24, <64, 64>, <1.0>, <90.8, 58.3, <0.0, 0.0>, 0>>,
  <25, <56, 32>, <1.0>, <84.7, 71.1, <0.0, 0.0>, 0>>,
  <26, <24, 64>, <1.0>, <22.3, 38.6, <0.0, 0.0>, 0>>,
  <27, <24, 64>, <1.0>, <112.6, 17.4, <0.0, 0.0>, 0>>,
  <28, <32, 128>, <1.0>, <43.8, 38.8, <0.0, 0.0>, 0>>,
  <29, <48, 128>, <1.0>, <15.5, 30.5, <0.0, 0.0>, 0>>,
  <30, <24, 32>, <1.0>, <34.6, 21.1, <0.0, 0.0>, 0>>,
  <31, <56, 32>, <1.0>, <57.9, 21.9, <0.0, 0.0>, 0>>,
  <32, <24, 32>, <1.0>, <48.0, 20.5, <0.0, 0.0>, 0>>,
  <33, <56, 32>, <1.0>, <50.4, 86.5, <0.0, 0.0>, 0>>,
  <34, <56, 64>, <1.0>, <69.5, 23.7, <0.0, 0.0>, 0>>,
  <35, <48, 128>, <1.0>, <102.6, 87.2, <0.0, 0.0>, 0>>,
  <36, <16, 64>, <1.0>, <63.0, 62.3, <0.0, 0.0>, 0>>,
  <37, <40, 32>, <1.0>, <98.8, 70.6, <0.0, 0.0>, 0>>,
  <38, <40, 32>, <1.0>, <23.8, 55.1, <0.0, 0.0>, 0>>,
  <39, <48, 128>, <1.0>, <111.9, 29.1, <0.0, 0.0>, 0>>,
  <40, <32, 128>, <1.0>, <25.1, 16.2, <0.0, 0.0>, 0>>,
  <41, <40, 128>, <1.0>, <116.8, 47.6, <0.0, 0.0>, 0>>,
  <42, <64, 32>, <1.0>, <119.3, 70.5, <0.0, 0.0>, 0>>,
  <43, <24, 128>, <1.0>, <33.3, 89.1, <0.0, 0.0>, 0>>,
  <44, <40, 32>, <1.0>, <102.9, 75.2, <0.0, 0.0>, 0>>,
  <45, <64, 32>, <1.0>, <36.2, 38.4, <0.0, 0.0>, 0>>,
