// <id, capacity (cpu, memory), features (speed), state (time_to_turn_on, time_to_turn_off, load (cpu_load, memory_load), state)>

physical_machines = {
  <0, <128, 256>, <1.0>, <99.0, 54.3, <0.0, 0.0>, 0>>,
  <1, <56, 64>, <1.0>, <39.3, 89.6, <0.0, 0.0>, 0>>,
  <2, <64, 128>, <1.0>, <95.6, 33.7, <0.0, 0.0>, 0>>,
  <3, <56, 128>, <1.0>, <77.5, 65.4, <0.0, 0.0>, 0>>,
  <4, <128, 512>, <1.0>, <75.4, 56.3, <0.0, 0.0>, 0>>,
  <5, <128, 64>, <1.0>, <49.8, 89.7, <0.0, 0.0>, 0>>,
  <6, <256, 128>, <1.0>, <91.3, 70.7, <0.0, 0.0>, 0>>,
  <7, <40, 512>, <1.0>, <56.6, 26.2, <0.0, 0.0>, 0>>,
  <8, <40, 64>, <1.0>, <95.5, 68.7, <0.0, 0.0>, 0>>,
  <9, <32, 64>, <1.0>, <63.4, 26.2, <0.0, 0.0>, 0>>,
  <10, <128, 128>, <1.0>, <104.5, 62.1, <0.0, 0.0>, 0>>,
  <11, <48, 128>, <1.0>, <47.2, 43.7, <0.0, 0.0>, 0>>,
  <12, <40, 64>, <1.0>, <76.7, 40.6, <0.0, 0.0>, 0>>,
  <13, <128, 64>, <1.0>, <72.1, 23.2, <0.0, 0.0>, 0>>,
  <14, <64, 128>, <1.0>, <63.5, 87.7, <0.0, 0.0>, 0>>,
  <15, <128, 512>, <1.0>, <21.1, 35.6, <0.0, 0.0>, 0>>,
  <16, <64, 512>, <1.0>, <117.0, 15.2, <0.0, 0.0>, 0>>,
  <17, <56, 64>, <1.0>, <31.8, 51.4, <0.0, 0.0>, 0>>,
  <18, <64, 256>, <1.0>, <21.6, 34.4, <0.0, 0.0>, 0>>,
  <19, <40, 64>, <1.0>, <77.9, 72.2, <0.0, 0.0>, 0>>,
  <20, <32, 256>, <1.0>, <107.6, 86.2, <0.0, 0.0>, 0>>,
  <21, <40, 128>, <1.0>, <77.3, 72.7, <0.0, 0.0>, 0>>,
  <22, <40, 128>, <1.0>, <49.6, 20.1, <0.0, 0.0>, 0>>,
  <23, <128, 256>, <1.0>, <97.9, 33.9, <0.0, 0.0>, 0>>,
