// <id, capacity (cpu, memory), features (speed), state (time_to_turn_on, time_to_turn_off, load (cpu_load, memory_load), state)>

physical_machines = {
  <0, <48, 64>, <1.0>, <42.4, 83.8, <0.0, 0.0>, 0>>,
  <1, <40, 128>, <1.0>, <106.4, 24.8, <0.0, 0.0>, 0>>,
  <2, <32, 32>, <1.0>, <59.9, 16.3, <0.0, 0.0>, 0>>,
  <3, <56, 32>, <1.0>, <59.2, 63.6, <0.0, 0.0>, 0>>,
  <4, <40, 128>, <1.0>, <120.0, 34.1, <0.0, 0.0>, 0>>,
  <5, <16, 128>, <1.0>, <105.3, 43.6, <0.0, 0.0>, 0>>,
  <6, <32, 64>, <1.0>, <53.7, 56.9, <0.0, 0.0>, 0>>,
  <7, <24, 64>, <1.0>, <66.5, 86.3, <0.0, 0.0>, 0>>,
  <8, <40, 128>, <1.0>, <34.0, 39.9, <0.0, 0.0>, 0>>,
  <9, <48, 64>, <1.0>, <31.9, 15.8, <0.0, 0.0>, 0>>,
  <10, <48, 128>, <1.0>, <38.7, 79.1, <0.0, 0.0>, 0>>,
  <11, <48, 32>, <1.0>, <116.2, 77.9, <0.0, 0.0>, 0>>,
  <12, <56, 128>, <1.0>, <17.5, 18.1, <0.0, 0.0>, 0>>,
  <13, <32, 64>, <1.0>, <40.0, 65.6, <0.0, 0.0>, 0>>,
  <14, <48, 32>, <1.0>, <77.5, 34.4, <0.0, 0.0>, 0>>,
  <15, <16, 128>, <1.0>, <71.6, 41.5, <0.0, 0.0>, 0>>,
  <16, <24, 128>, <1.0>, <88.0, 82.2, <0.0, 0.0>, 0>>,
  <17, <32, 64>, <1.0>, <58.5, 17.8, <0.0, 0.0>, 0>>,
  <18, <32, 32>, <1.0>, <94.9, 51.8, <0.0, 0.0>, 0>>,
  <19, <24, 128>, <1.0>, <21.7, 17.0, <0.0, 0.0>, 0>>,
  <20, <16, 64>, <1.0>, <116.0, 58.1, <0.0, 0.0>, 0>>,
  <21, <40, 32>, <1.0>, <33.0, 29.0, <0.0, 0.0>, 0>>,
  <22, <32, 32>, <1.0>, <100.9, 12.8, <0.0, 0.0>, 0>>,
  <23, <48, 64>, <1.0>, <110.1, 78.1, <0.0, 0.0>, 0>>,
  <24, <32, 64>, <1.0>, <93.8, 17.3, <0.0, 0.0>, 0>>,
  <25, <16, 64>, <1.0>, <23.9, 69.0, <0.0, 0.0>, 0>>,
  <26, <40, 128>, <1.0>, <70.8, 56.3, <0.0, 0.0>, 0>>,
  <27, <56, 64>, <1.0>, <55.2, 88.2, <0.0, 0.0>, 0>>,
  <28, <48, 32>, <1.0>, <39.8, 62.5, <0.0, 0.0>, 0>>,
  <29, <32, 32>, <1.0>, <77.8, 76.2, <0.0, 0.0>, 0>>,
  <30, <56, 128>, <1.0>, <68.4, 19.4, <0.0, 0.0>, 0>>,
  <31, <56, 64>, <1.0>, <78.5, 23.3, <0.0, 0.0>, 0>>,
  <32, <56, 128>, <1.0>, <31.3, 20.8, <0.0, 0.0>, 0>>,
  <33, <24, 32>, <1.0>, <104.2, 80.7, <0.0, 0.0>, 0>>,
  <34, <24, 64>, <1.0>, <83.6, 84.1, <0.0, 0.0>, 0>>,
  <35, <24, 64>, <1.0>, <16.5, 35.0, <0.0, 0.0>, 0>>,
  <36, <48, 32>, <1.0>, <84.8, 23.2, <0.0, 0.0>, 0>>,
  <37, <56, 32>, <1.0>, <22.9, 55.3, <0.0, 0.0>, 0>>,
  <38, <16, 32>, <1.0>, <110.6, 89.1, <0.0, 0.0>, 0>>,
  <39, <64, 32>, <1.0>, <31.8, 53.8, <0.0, 0.0>, 0>>,
  <40, <24, 64>, <1.0>, <32.2, 34.6, <0.0, 0.0>, 0>>,
  <41, <24, 64>, <1.0>, <65.1, 45.3, <0.0, 0.0>, 0>>,
  <42, <16, 32>, <1.0>, <39.2, 57.9, <0.0, 0.0>, 0>>,
  <43, <16, 128>, <1.0>, <72.7, 88.8, <0.0, 0.0>, 0>>,
  <44, <48, 32>, <1.0>, <30.4, 55.6, <0.0, 0.0>, 0>>,
  <45, <24, 128>, <1.0>, <94.0, 81.4, <0.0, 0.0>, 0>>,
  <46, <16, 128>, <1.0>, <48.0, 57.6, <0.0, 0.0>, 0>>,
  <47, <64, 32>, <1.0>, <95.1, 86.4, <0.0, 0.0>, 0>>,
  <48, <16, 64>, <1.0>, <31.4, 78.5, <0.0, 0.0>, 0>>,
  <49, <64, 32>, <1.0>, <20.9, 68.7, <0.0, 0.0>, 0>>,
  <50, <56, 128>, <1.0>, <108.5, 65.5, <0.0, 0.0>, 0>>,
  <51, <16, 32>, <1.0>, <32.2, 20.9, <0.0, 0.0>, 0>>,
  <52, <32, 64>, <1.0>, <111.6, 73.7, <0.0, 0.0>, 0>>,
  <53, <48, 32>, <1.0>, <69.8, 24.3, <0.0, 0.0>, 0>>,
  <54, <64, 64>, <1.0>, <113.8, 50.5, <0.0, 0.0>, 0>>,
  <55, <56, 128>, <1.0>, <54.9, 47.3, <0.0, 0.0>, 0>>,
