// <id, capacity (cpu, memory), s (time_to_turn_on, time_to_turn_off, load (cpu_load, memory_load), state), type>

physical_machines = {
  <0, <12, 128>, <33.0, 9.0, <0.0, 0.0>, 0>, 7>, 
  <1, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 442>, 
  <2, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 152>, 
  <3, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 139>, 
  <4, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 133>, 
  <5, <44, 128>, <39.4, 10.6, <0.0, 0.0>, 0>, 90>, 
  <6, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 247>, 
  <7, <12, 48>, <17.0, 5.0, <0.0, 0.0>, 0>, 266>, 
  <8, <20, 48>, <18.6, 5.4, <0.0, 0.0>, 0>, 154>, 
  <9, <32, 32>, <17.8, 5.2, <0.0, 0.0>, 0>, 465>, 
  <10, <80, 256>, <72.2, 18.8, <0.0, 0.0>, 0>, 158>, 
  <11, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 376>, 
  <12, <20, 24>, <13.8, 4.2, <0.0, 0.0>, 0>, 83>, 
  <13, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 354>, 
  <14, <16, 16>, <11.4, 3.6, <0.0, 0.0>, 0>, 297>, 
  <15, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 225>, 
  <16, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 174>, 
  <17, <24, 16>, <13.0, 4.0, <0.0, 0.0>, 0>, 45>, 
  <18, <8, 48>, <16.200000000000003, 4.800000000000001, <0.0, 0.0>, 0>, 318>, 
  <19, <32, 48>, <21.0, 6.0, <0.0, 0.0>, 0>, 102>, 
  <20, <44, 64>, <26.6, 7.4, <0.0, 0.0>, 0>, 176>, 
  <21, <32, 32>, <17.8, 5.2, <0.0, 0.0>, 0>, 259>, 
