// <id, capacity (cpu, memory), s (time_to_turn_on, time_to_turn_off, load (cpu_load, memory_load), state), type>

physical_machines = {
  <0, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 262>, 
  <1, <16, 32>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 38>, 
  <2, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 377>, 
  <3, <8, 32>, <13.0, 4.0, <0.0, 0.0>, 0>, 441>, 
  <4, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 330>, 
  <5, <16, 64>, <21.0, 6.0, <0.0, 0.0>, 0>, 379>, 
  <6, <64, 96>, <37.0, 10.0, <0.0, 0.0>, 0>, 183>, 
  <7, <36, 64>, <25.0, 7.0, <0.0, 0.0>, 0>, 131>, 
  <8, <64, 256>, <69.0, 18.0, <0.0, 0.0>, 0>, 67>, 
  <9, <32, 48>, <21.0, 6.0, <0.0, 0.0>, 0>, 320>, 
  <10, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 78>, 
  <11, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 289>, 
  <12, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 6>, 
  <13, <48, 32>, <21.0, 6.0, <0.0, 0.0>, 0>, 25>, 
  <14, <24, 512>, <112.2, 28.8, <0.0, 0.0>, 0>, 412>, 
  <15, <16, 16>, <11.4, 3.6, <0.0, 0.0>, 0>, 309>, 
  <16, <48, 64>, <27.400000000000002, 7.6000000000000005, <0.0, 0.0>, 0>, 16>, 
  <17, <28, 48>, <20.200000000000003, 5.800000000000001, <0.0, 0.0>, 0>, 200>, 
  <18, <16, 16>, <11.4, 3.6, <0.0, 0.0>, 0>, 309>, 
  <19, <40, 48>, <22.6, 6.4, <0.0, 0.0>, 0>, 333>, 
  <20, <32, 256>, <62.6, 16.4, <0.0, 0.0>, 0>, 119>, 
  <21, <80, 320>, <85.0, 22.0, <0.0, 0.0>, 0>, 264>, 
  <22, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 139>, 
  <23, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 108>, 
  <24, <12, 16>, <10.600000000000001, 3.4000000000000004, <0.0, 0.0>, 0>, 241>, 
  <25, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 234>, 
  <26, <8, 32>, <13.0, 4.0, <0.0, 0.0>, 0>, 141>, 
  <27, <60, 128>, <42.6, 11.4, <0.0, 0.0>, 0>, 191>, 
  <28, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 220>, 
  <29, <64, 192>, <56.2, 14.8, <0.0, 0.0>, 0>, 447>, 
  <30, <24, 96>, <29.0, 8.0, <0.0, 0.0>, 0>, 444>, 
  <31, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 71>, 
  <32, <24, 384>, <86.60000000000001, 22.400000000000002, <0.0, 0.0>, 0>, 359>, 
  <33, <56, 384>, <93.0, 24.0, <0.0, 0.0>, 0>, 477>, 
  <34, <48, 64>, <27.400000000000002, 7.6000000000000005, <0.0, 0.0>, 0>, 233>, 
  <35, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 423>, 
  <36, <36, 64>, <25.0, 7.0, <0.0, 0.0>, 0>, 479>, 
