// <id, capacity (cpu, memory), s (time_to_turn_on, time_to_turn_off, load (cpu_load, memory_load), state), type>

physical_machines = {
  <0, <16, 128>, <33.8, 9.2, <0.0, 0.0>, 0>, 30>, 
  <1, <80, 256>, <72.2, 18.8, <0.0, 0.0>, 0>, 208>, 
  <2, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 378>, 
  <3, <12, 16>, <10.600000000000001, 3.4000000000000004, <0.0, 0.0>, 0>, 236>, 
  <4, <48, 64>, <27.400000000000002, 7.6000000000000005, <0.0, 0.0>, 0>, 230>, 
  <5, <48, 64>, <27.400000000000002, 7.6000000000000005, <0.0, 0.0>, 0>, 24>, 
  <6, <80, 256>, <72.2, 18.8, <0.0, 0.0>, 0>, 212>, 
  <7, <64, 96>, <37.0, 10.0, <0.0, 0.0>, 0>, 456>, 
  <8, <28, 96>, <29.8, 8.2, <0.0, 0.0>, 0>, 390>, 
  <9, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 74>, 
  <10, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 423>, 
  <11, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 85>, 
  <12, <36, 64>, <25.0, 7.0, <0.0, 0.0>, 0>, 292>, 
  <13, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 192>, 
  <14, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 303>, 
  <15, <36, 64>, <25.0, 7.0, <0.0, 0.0>, 0>, 150>, 
  <16, <8, 16>, <9.8, 3.2, <0.0, 0.0>, 0>, 442>, 
  <17, <44, 128>, <39.4, 10.6, <0.0, 0.0>, 0>, 90>, 
  <18, <48, 32>, <21.0, 6.0, <0.0, 0.0>, 0>, 254>, 
  <19, <36, 32>, <18.6, 5.4, <0.0, 0.0>, 0>, 476>, 
  <20, <48, 32>, <21.0, 6.0, <0.0, 0.0>, 0>, 254>, 
  <21, <24, 24>, <14.600000000000001, 4.4, <0.0, 0.0>, 0>, 327>, 
  <22, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 6>, 
  <23, <12, 48>, <17.0, 5.0, <0.0, 0.0>, 0>, 277>, 
  <24, <56, 192>, <54.6, 14.4, <0.0, 0.0>, 0>, 420>, 
  <25, <20, 48>, <18.6, 5.4, <0.0, 0.0>, 0>, 171>, 
  <26, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 106>, 
  <27, <80, 256>, <72.2, 18.8, <0.0, 0.0>, 0>, 483>, 
  <28, <20, 24>, <13.8, 4.2, <0.0, 0.0>, 0>, 319>, 
  <29, <16, 24>, <13.0, 4.0, <0.0, 0.0>, 0>, 37>, 
  <30, <48, 96>, <33.8, 9.2, <0.0, 0.0>, 0>, 147>, 
  <31, <12, 16>, <10.600000000000001, 3.4000000000000004, <0.0, 0.0>, 0>, 237>, 
  <32, <8, 32>, <13.0, 4.0, <0.0, 0.0>, 0>, 441>, 
  <33, <64, 128>, <43.400000000000006, 11.600000000000001, <0.0, 0.0>, 0>, 198>, 
