# Cores,Memory (GB),Average watts @ active idle,Average watts @ 10% of target load,Average watts @ 20% of target load,Average watts @ 30% of target load,Average watts @ 40% of target load,Average watts @ 50% of target load,Average watts @ 60% of target load,Average watts @ 70% of target load,Average watts @ 80% of target load,Average watts @ 90% of target load,Average watts @ 100% of target load,speed @ active idle,speed @ 10% of target load,speed @ 20% of target load,speed @ 30% of target load,speed @ 40% of target load,speed @ 50% of target load,speed @ 60% of target load,speed @ 70% of target load,speed @ 80% of target load,speed @ 90% of target load,speed @ 100% of target load
64,128.0,51.4,100.0,109.0,120.0,131.0,149.0,161.0,175.0,189.0,201.0,214.0,1.2365681745655297,1.2365681745655297,1.2356073948552442,1.2406922825397,1.2373593451726248,1.23680583043467,1.235722498837449,1.2383989082387974,1.2364960653060895,1.2342825705894764,1.2319064632862384
64,128.0,56.4,100.0,107.0,117.0,127.0,138.0,149.0,162.0,177.0,191.0,206.0,1.1972696437940937,1.1972696437940937,1.194637148012847,1.2003788054781175,1.1982426109848479,1.1983218296078946,1.1959710000419252,1.196334689935278,1.1973336280665547,1.198295649094295,1.1942735548455297
80,256.0,110.0,181.0,212.0,244.0,269.0,303.0,342.0,386.0,443.0,514.0,623.0,1.217578048748496,1.217578048748496,1.2174683614242774,1.213701527183107,1.2160634157591315,1.2173559657710655,1.214784858780328,1.2115187429827543,1.212916676010329,1.213244120508725,1.2136265967476327
56,192.0,47.4,107.0,127.0,147.0,165.0,187.0,213.0,248.0,283.0,328.0,405.0,1.1014201098994805,1.1014201098994805,1.097379491374846,1.1001482369377433,1.0998263624535691,1.1008407358279668,1.0986638643165514,1.100015201436656,1.0993318319960876,1.0992649050200094,1.0959413686795356
56,192.0,62.4,109.0,129.0,149.0,165.0,188.0,214.0,249.0,285.0,330.0,412.0,1.1050219791272404,1.1050219791272404,1.0995919878291702,1.0993482382197957,1.1010919854253223,1.1004544864469579,1.0983576148073368,1.099792880364369,1.0984787083632763,1.0950440784508373,1.0991682385082573
56,192.0,48.2,106.0,129.0,154.0,179.0,205.0,235.0,269.0,306.0,347.0,385.0,1.026549604884549,1.026549604884549,1.0289327260654355,1.0265421048965682,1.0295421000888723,1.027682103069644,1.0280296025127522,1.0294135288663449,1.0287850700520644,1.0298650162380436,1.009948381489137
16,24.0,69.4,103.0,117.0,137.0,159.0,182.0,201.0,218.0,240.0,290.0,315.0,1.290640886205792,1.290640886205792,1.277451816433081,1.277682270609217,1.275089661127686,1.2780899972285347,1.2784327239520192,1.2762856170032935,1.275120683805243,1.2778979520817546,1.2725502333791097
12,128.0,99.6,138.0,153.0,169.0,187.0,209.0,231.0,249.0,278.0,311.0,325.0,0.4188017152054485,0.4188017152054485,0.42112398421112746,0.4217208014365055,0.41938449836240804,0.41875916981908495,0.419471657313639,0.42087137097959365,0.4203229343585006,0.42218712644676376,0.4193330893538853
12,128.0,99.5,137.0,151.0,166.0,183.0,203.0,224.0,241.0,261.0,291.0,307.0,0.45056450521251157,0.45056450521251157,0.4517433669596692,0.44935905259887665,0.4472927206830411,0.44424651533751935,0.4478352482226948,0.44755150679429295,0.44813587274092365,0.44797238815443396,0.4464783753971757
16,128.0,103.0,147.0,167.0,190.0,218.0,245.0,273.0,296.0,324.0,378.0,409.0,0.5486397457675514,0.5486397457675514,0.5476789660572661,0.5491705782501897,0.5483797461842184,0.5489046203430719,0.5517299491486239,0.5481087198328422,0.5514022413404647,0.5497772439446332,0.5473113103964592
12,32.0,81.9,107.0,117.0,129.0,146.0,165.0,184.0,200.0,212.0,239.0,254.0,0.9684269480300537,0.9684269480300537,0.9663160764128689,0.9673966996810967,0.9683513856511476,0.9660577018269315,0.9688218223972407,0.9704507662153191,0.9742160012527028,0.9693521132140804,0.9657895772566194
32,32.0,94.9,127.0,147.0,168.0,192.0,216.0,240.0,259.0,279.0,294.0,307.0,0.5836243147024041,0.5836243147024041,0.580696881893814,0.5784356980175146,0.5795658837063152,0.5786440226836602,0.5783893855917334,0.5811951757381214,0.580353804318619,0.5783853230982439,0.5769455754055373
24,32.0,89.8,120.0,137.0,157.0,180.0,204.0,224.0,242.0,259.0,274.0,290.0,0.606534340487532,0.606534340487532,0.5978172450822693,0.6061768410604491,0.6045691092619484,0.6034716266457388,0.6059848882430665,0.6045608391859161,0.6054527015959317,0.604588406106024,0.6020286289582406
24,16.0,86.7,132.0,147.0,161.0,179.0,198.0,216.0,231.0,246.0,260.0,273.0,0.6559371631018682,0.6559371631018682,0.6529912749657111,0.6505236003488988,0.6546418080349056,0.6546557365840128,0.6567914474471053,0.6525525256688367,0.6533273012129206,0.6528442513918027,0.6513087062335703
24,64.0,109.0,155.0,170.0,184.0,197.0,211.0,226.0,252.0,280.0,324.0,368.0,0.8034279624521324,0.8034279624521324,0.8003079674521363,0.8039105866786944,0.7999435617861212,0.8052044096052554,0.8016526527971869,0.8040254972088281,0.8015584029482286,0.8032795460233132,0.8025407138740087
32,32.0,134.0,172.0,202.0,239.0,286.0,346.0,405.0,452.0,490.0,582.0,667.0,1.4536007955060168,1.4536007955060168,1.4551169180763275,1.4528029217846639,1.4541614196075787,1.4595824109200721,1.4593207863393431,1.4559512381678443,1.4573484457501529,1.4576226640606995,1.4527671718419555
48,64.0,145.0,214.0,246.0,274.0,301.0,328.0,354.0,385.0,425.0,475.0,511.0,0.7581526912588291,0.7581526912588291,0.7563047645327571,0.7584035502318105,0.7577695473415932,0.7591337834365622,0.7585437062572009,0.7557369585230619,0.7571472241201584,0.7598792509918998,0.7564586314736749
64,64.0,149.0,225.0,264.0,304.0,347.0,392.0,437.0,481.0,515.0,549.0,581.0,0.7734053230654508,0.7734053230654508,0.7681549564795198,0.7709385770185789,0.7734784479482633,0.7705753901006106,0.7701309533128508,0.7717809060258323,0.7720647002138901,0.7707470981587702,0.76805745663577
64,64.0,127.0,229.0,270.0,312.0,357.0,404.0,449.0,487.0,519.0,555.0,584.0,0.5592396037805591,0.5592396037805591,0.5656721559719574,0.5642819706998238,0.5643729705539903,0.5653820939368016,0.5659825304745613,0.5655304329847924,0.5649567508684428,0.5662709675123213,0.562410786198524
64,256.0,186.0,326.0,388.0,446.0,504.0,564.0,619.0,668.0,710.0,747.0,786.0,0.35235986500688893,0.35235986500688893,0.35304236391313804,0.3507709222407776,0.35205175026628877,0.3529585749849155,0.3522410370723188,0.35123230542995115,0.35251715967668856,0.3513058172169054,0.3503793994307195
64,256.0,176.0,300.0,351.0,400.0,452.0,504.0,556.0,599.0,637.0,676.0,713.0,0.35205822486528776,0.35205822486528776,0.3511015076484921,0.3487142849116786,0.3514701789326713,0.352303497909721,0.3509740469152565,0.3516849832759327,0.35201633040117647,0.35084032317122454,0.3498309628096264
